hh1,hh2,hh6,hh7,zone,ln,mn_age_yrs,mn_attended_sch,mn_mstatus,mma1,mwage,mn_overall_happiness,mn_life_satisfaction,mn_life_satisfaction_last_year,mn_life_satisfaction_expectation,mn_education,windex5,survey,consent,mnweight
809.0,5.0,RURAL,JIGAWA,North West,3.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,3,IMPROVED,BETTER,Primary,Poorest,MICS,YES,2.16212866639832
809.0,7.0,,,,4.0,,,,,,,,,,,0.0,MICS,,0.0
809.0,7.0,RURAL,JIGAWA,North West,5.0,15.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,4,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,2.16212866639832
809.0,9.0,RURAL,JIGAWA,North West,1.0,38.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,4,WORSENED,BETTER,Higher/tertiary,Second,MICS,YES,2.16212866639832
809.0,15.0,RURAL,JIGAWA,North West,1.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
809.0,17.0,RURAL,JIGAWA,North West,6.0,25.0,NO,Never married/in union,"NO, NOT IN UNION",25-29,NEITHER HAPPY NOR UNHAPPY,5,IMPROVED,BETTER,None,Poorest,MICS,YES,2.16212866639832
809.0,19.0,RURAL,JIGAWA,North West,8.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT UNHAPPY,2,MORE OR LESS THE SAME,BETTER,Primary,Second,MICS,YES,2.16212866639832
809.0,19.0,RURAL,JIGAWA,North West,9.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
810.0,1.0,URBAN,JIGAWA,North West,3.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY UNHAPPY,10,IMPROVED,BETTER,Primary,Poorest,MICS,YES,0.408688073496242
810.0,3.0,URBAN,JIGAWA,North West,1.0,28.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,VERY HAPPY,10,IMPROVED,BETTER,None,Poorest,MICS,YES,0.408688073496242
810.0,5.0,URBAN,JIGAWA,North West,1.0,32.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,NEITHER HAPPY NOR UNHAPPY,2,IMPROVED,BETTER,None,Poorest,MICS,YES,0.408688073496242
810.0,7.0,URBAN,JIGAWA,North West,1.0,47.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,NEITHER HAPPY NOR UNHAPPY,2,MORE OR LESS THE SAME,BETTER,Primary,Poorest,MICS,YES,0.408688073496242
810.0,9.0,URBAN,JIGAWA,North West,1.0,40.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,NEITHER HAPPY NOR UNHAPPY,2,IMPROVED,BETTER,None,Poorest,MICS,YES,0.408688073496242
810.0,9.0,URBAN,JIGAWA,North West,3.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,1,IMPROVED,BETTER,Primary,Poorest,MICS,YES,0.408688073496242
810.0,9.0,URBAN,JIGAWA,North West,4.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,3,WORSENED,BETTER,Primary,Poorest,MICS,YES,0.408688073496242
810.0,13.0,URBAN,JIGAWA,North West,1.0,27.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,SOMEWHAT HAPPY,2,IMPROVED,BETTER,None,Second,MICS,YES,0.408688073496242
810.0,15.0,URBAN,JIGAWA,North West,1.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
810.0,17.0,URBAN,JIGAWA,North West,1.0,20.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",20-24,NEITHER HAPPY NOR UNHAPPY,3,IMPROVED,BETTER,Higher/tertiary,Second,MICS,YES,0.408688073496242
810.0,19.0,URBAN,JIGAWA,North West,1.0,45.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,NEITHER HAPPY NOR UNHAPPY,3,WORSENED,BETTER,Junior secondary,Poorest,MICS,YES,0.408688073496242
810.0,19.0,URBAN,JIGAWA,North West,9.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
811.0,4.0,RURAL,JIGAWA,North West,1.0,44.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,VERY HAPPY,10,IMPROVED,BETTER,None,Poorest,MICS,YES,1.75153776636411
811.0,6.0,RURAL,JIGAWA,North West,3.0,29.0,YES,Formerly married/in union,"NO, NOT IN UNION",25-29,NEITHER HAPPY NOR UNHAPPY,5,WORSENED,BETTER,Primary,Second,MICS,YES,1.75153776636411
811.0,6.0,RURAL,JIGAWA,North West,4.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,10,IMPROVED,BETTER,Primary,Second,MICS,YES,1.75153776636411
811.0,8.0,RURAL,JIGAWA,North West,1.0,38.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,2,MORE OR LESS THE SAME,BETTER,None,Second,MICS,YES,1.75153776636411
811.0,8.0,RURAL,JIGAWA,North West,6.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
811.0,10.0,RURAL,JIGAWA,North West,1.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,7,IMPROVED,BETTER,Primary,Second,MICS,YES,1.75153776636411
811.0,14.0,RURAL,JIGAWA,North West,1.0,46.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,VERY HAPPY,8,IMPROVED,BETTER,None,Second,MICS,YES,1.75153776636411
811.0,16.0,RURAL,JIGAWA,North West,4.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY UNHAPPY,2,WORSENED,BETTER,Primary,Second,MICS,YES,1.75153776636411
811.0,18.0,RURAL,JIGAWA,North West,2.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
811.0,18.0,RURAL,JIGAWA,North West,8.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,8,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,1.75153776636411
811.0,18.0,RURAL,JIGAWA,North West,9.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,1.75153776636411
811.0,18.0,RURAL,JIGAWA,North West,10.0,22.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,10,IMPROVED,BETTER,Primary,Middle,MICS,YES,1.75153776636411
811.0,20.0,RURAL,JIGAWA,North West,1.0,42.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,1,WORSENED,BETTER,Primary,Middle,MICS,YES,1.75153776636411
811.0,20.0,RURAL,JIGAWA,North West,4.0,37.0,YES,Formerly married/in union,"NO, NOT IN UNION",35-39,SOMEWHAT HAPPY,6,WORSENED,BETTER,Senior secondary,Middle,MICS,YES,1.75153776636411
812.0,2.0,,,,4.0,,,,,,,,,,,0.0,MICS,,0.0
812.0,2.0,RURAL,JIGAWA,North West,7.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,9,IMPROVED,BETTER,Junior secondary,Poorest,MICS,YES,0.47572630691371
812.0,2.0,RURAL,JIGAWA,North West,8.0,16.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,4,IMPROVED,BETTER,None,Poorest,MICS,YES,0.47572630691371
812.0,4.0,RURAL,JIGAWA,North West,4.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
812.0,4.0,RURAL,JIGAWA,North West,5.0,18.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,IMPROVED,BETTER,None,Poorest,MICS,YES,0.47572630691371
812.0,4.0,,,,6.0,,,,,,,,,,,0.0,MICS,,0.0
812.0,6.0,RURAL,JIGAWA,North West,3.0,17.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,5,IMPROVED,MORE OR LESS THE SAME,None,Poorest,MICS,YES,0.47572630691371
812.0,8.0,RURAL,JIGAWA,North West,1.0,25.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.47572630691371
812.0,10.0,RURAL,JIGAWA,North West,1.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
812.0,12.0,RURAL,JIGAWA,North West,1.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
812.0,12.0,RURAL,JIGAWA,North West,3.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
812.0,16.0,RURAL,JIGAWA,North West,1.0,35.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,5,WORSENED,BETTER,None,Poorest,MICS,YES,0.47572630691371
812.0,18.0,RURAL,JIGAWA,North West,3.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
812.0,20.0,RURAL,JIGAWA,North West,3.0,19.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,3,IMPROVED,BETTER,None,Poorest,MICS,YES,0.47572630691371
812.0,20.0,RURAL,JIGAWA,North West,4.0,17.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,4,IMPROVED,BETTER,None,Poorest,MICS,YES,0.47572630691371
813.0,1.0,RURAL,JIGAWA,North West,1.0,29.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,1.405554997699598
813.0,5.0,RURAL,JIGAWA,North West,1.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
813.0,5.0,RURAL,JIGAWA,North West,4.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Primary,Middle,MICS,YES,1.405554997699598
813.0,9.0,RURAL,JIGAWA,North West,1.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
813.0,11.0,RURAL,JIGAWA,North West,3.0,26.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Richest,MICS,YES,1.405554997699598
813.0,11.0,RURAL,JIGAWA,North West,4.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
813.0,13.0,RURAL,JIGAWA,North West,1.0,30.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,SOMEWHAT HAPPY,2,MORE OR LESS THE SAME,BETTER,None,Second,MICS,YES,1.405554997699598
813.0,15.0,RURAL,JIGAWA,North West,4.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
813.0,19.0,RURAL,JIGAWA,North West,4.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
814.0,2.0,RURAL,JIGAWA,North West,3.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,3,MORE OR LESS THE SAME,BETTER,Senior secondary,Second,MICS,YES,0.612915123734894
814.0,2.0,RURAL,JIGAWA,North West,15.0,26.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,VERY HAPPY,2,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.612915123734894
814.0,6.0,RURAL,JIGAWA,North West,3.0,23.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,8,IMPROVED,BETTER,Junior secondary,Poorest,MICS,YES,0.612915123734894
814.0,8.0,RURAL,JIGAWA,North West,1.0,38.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,VERY HAPPY,7,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.612915123734894
814.0,10.0,RURAL,JIGAWA,North West,1.0,25.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,SOMEWHAT HAPPY,4,MORE OR LESS THE SAME,BETTER,Primary,Poorest,MICS,YES,0.612915123734894
814.0,12.0,RURAL,JIGAWA,North West,1.0,35.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT UNHAPPY,2,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Middle,MICS,YES,0.612915123734894
814.0,12.0,RURAL,JIGAWA,North West,7.0,37.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,0.612915123734894
814.0,14.0,RURAL,JIGAWA,North West,1.0,32.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,NEITHER HAPPY NOR UNHAPPY,0,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.612915123734894
814.0,18.0,RURAL,JIGAWA,North West,1.0,42.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,4,IMPROVED,BETTER,Primary,Second,MICS,YES,0.612915123734894
814.0,20.0,RURAL,JIGAWA,North West,3.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
815.0,2.0,RURAL,JIGAWA,North West,3.0,21.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",20-24,VERY HAPPY,10,IMPROVED,BETTER,Senior secondary,Poorest,MICS,YES,1.28754974769025
815.0,2.0,RURAL,JIGAWA,North West,4.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
815.0,2.0,RURAL,JIGAWA,North West,5.0,15.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,1.28754974769025
815.0,2.0,RURAL,JIGAWA,North West,6.0,16.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,VERY UNHAPPY,1,IMPROVED,BETTER,None,Poorest,MICS,YES,1.28754974769025
815.0,2.0,RURAL,JIGAWA,North West,10.0,15.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,IMPROVED,BETTER,None,Poorest,MICS,YES,1.28754974769025
815.0,2.0,RURAL,JIGAWA,North West,14.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,IMPROVED,BETTER,Junior secondary,Poorest,MICS,YES,1.28754974769025
815.0,2.0,RURAL,JIGAWA,North West,16.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
815.0,2.0,RURAL,JIGAWA,North West,19.0,22.0,NO,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,8,IMPROVED,BETTER,None,Poorest,MICS,YES,1.28754974769025
815.0,4.0,RURAL,JIGAWA,North West,3.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Primary,Poorest,MICS,YES,1.28754974769025
815.0,4.0,RURAL,JIGAWA,North West,4.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,IMPROVED,BETTER,Primary,Poorest,MICS,YES,1.28754974769025
815.0,4.0,RURAL,JIGAWA,North West,8.0,35.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,VERY HAPPY,5,WORSENED,BETTER,Primary,Poorest,MICS,YES,1.28754974769025
815.0,6.0,RURAL,JIGAWA,North West,3.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
815.0,6.0,RURAL,JIGAWA,North West,4.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
815.0,6.0,RURAL,JIGAWA,North West,5.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT UNHAPPY,0,IMPROVED,BETTER,Junior secondary,Poorest,MICS,YES,1.28754974769025
815.0,6.0,RURAL,JIGAWA,North West,6.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,IMPROVED,BETTER,Primary,Poorest,MICS,YES,1.28754974769025
815.0,6.0,RURAL,JIGAWA,North West,14.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
815.0,6.0,RURAL,JIGAWA,North West,15.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,4,IMPROVED,BETTER,Senior secondary,Poorest,MICS,YES,1.28754974769025
815.0,10.0,RURAL,JIGAWA,North West,3.0,43.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,VERY HAPPY,5,IMPROVED,BETTER,None,Poorest,MICS,YES,1.28754974769025
815.0,10.0,RURAL,JIGAWA,North West,5.0,23.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,4,IMPROVED,BETTER,Senior secondary,Poorest,MICS,YES,1.28754974769025
815.0,10.0,RURAL,JIGAWA,North West,6.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,BETTER,Senior secondary,Poorest,MICS,YES,1.28754974769025
815.0,10.0,RURAL,JIGAWA,North West,7.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,IMPROVED,BETTER,Primary,Poorest,MICS,YES,1.28754974769025
815.0,14.0,RURAL,JIGAWA,North West,1.0,40.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,9,IMPROVED,BETTER,Primary,Poorest,MICS,YES,1.28754974769025
815.0,14.0,RURAL,JIGAWA,North West,4.0,17.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,5,IMPROVED,BETTER,None,Poorest,MICS,YES,1.28754974769025
815.0,18.0,RURAL,JIGAWA,North West,4.0,20.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",20-24,VERY HAPPY,5,IMPROVED,BETTER,None,Poorest,MICS,YES,1.28754974769025
815.0,20.0,RURAL,JIGAWA,North West,1.0,30.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,VERY HAPPY,10,IMPROVED,BETTER,Primary,Poorest,MICS,YES,1.28754974769025
816.0,2.0,RURAL,JIGAWA,North West,4.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,6,MORE OR LESS THE SAME,BETTER,Primary,Poorest,MICS,YES,0.988119573808797
816.0,2.0,RURAL,JIGAWA,North West,18.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
816.0,4.0,RURAL,JIGAWA,North West,3.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,IMPROVED,BETTER,Primary,Poorest,MICS,YES,0.988119573808797
816.0,6.0,RURAL,JIGAWA,North West,1.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
816.0,8.0,RURAL,JIGAWA,North West,1.0,35.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,NEITHER HAPPY NOR UNHAPPY,5,WORSENED,BETTER,None,Poorest,MICS,YES,0.988119573808797
816.0,12.0,RURAL,JIGAWA,North West,1.0,45.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.988119573808797
816.0,16.0,RURAL,JIGAWA,North West,3.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
816.0,16.0,RURAL,JIGAWA,North West,4.0,16.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,IMPROVED,BETTER,None,Poorest,MICS,YES,0.988119573808797
816.0,18.0,RURAL,JIGAWA,North West,1.0,35.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT UNHAPPY,4,WORSENED,BETTER,None,Poorest,MICS,YES,0.988119573808797
816.0,20.0,RURAL,JIGAWA,North West,3.0,18.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.988119573808797
817.0,2.0,URBAN,JIGAWA,North West,1.0,45.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT UNHAPPY,7,IMPROVED,BETTER,Primary,Second,MICS,YES,0.718826997670366
817.0,4.0,URBAN,JIGAWA,North West,1.0,38.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,VERY HAPPY,2,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Fourth,MICS,YES,0.718826997670366
817.0,6.0,URBAN,JIGAWA,North West,2.0,24.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY UNHAPPY,3,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.718826997670366
817.0,8.0,URBAN,JIGAWA,North West,10.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,10,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.718826997670366
817.0,10.0,URBAN,JIGAWA,North West,2.0,27.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,0.718826997670366
817.0,10.0,URBAN,JIGAWA,North West,3.0,27.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,NEITHER HAPPY NOR UNHAPPY,3,WORSENED,BETTER,Higher/tertiary,Middle,MICS,YES,0.718826997670366
817.0,10.0,URBAN,JIGAWA,North West,4.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,3,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.718826997670366
817.0,12.0,URBAN,JIGAWA,North West,1.0,46.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,VERY HAPPY,2,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.718826997670366
817.0,12.0,URBAN,JIGAWA,North West,3.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY UNHAPPY,0,NO RESPONSE,BETTER,Junior secondary,Middle,MICS,YES,0.718826997670366
817.0,14.0,URBAN,JIGAWA,North West,1.0,26.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,3,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.718826997670366
817.0,14.0,URBAN,JIGAWA,North West,4.0,24.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY UNHAPPY,2,IMPROVED,BETTER,Higher/tertiary,Fourth,MICS,YES,0.718826997670366
817.0,16.0,URBAN,JIGAWA,North West,4.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,8,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.718826997670366
817.0,16.0,URBAN,JIGAWA,North West,5.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,6,WORSENED,BETTER,Senior secondary,Fourth,MICS,YES,0.718826997670366
817.0,16.0,URBAN,JIGAWA,North West,7.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,7,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.718826997670366
817.0,18.0,URBAN,JIGAWA,North West,3.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,10,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,0.718826997670366
817.0,18.0,URBAN,JIGAWA,North West,4.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,2,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.718826997670366
817.0,20.0,URBAN,JIGAWA,North West,3.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.718826997670366
817.0,20.0,URBAN,JIGAWA,North West,4.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
818.0,6.0,RURAL,JIGAWA,North West,1.0,40.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,1,IMPROVED,BETTER,None,Poorest,MICS,YES,0.85610815993456
818.0,6.0,RURAL,JIGAWA,North West,4.0,15.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,3,IMPROVED,BETTER,None,Poorest,MICS,YES,0.85610815993456
818.0,8.0,RURAL,JIGAWA,North West,3.0,20.0,NO,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,1,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.85610815993456
818.0,12.0,RURAL,JIGAWA,North West,1.0,35.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.85610815993456
818.0,14.0,RURAL,JIGAWA,North West,3.0,17.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,1,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.85610815993456
818.0,16.0,RURAL,JIGAWA,North West,1.0,40.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,4,IMPROVED,BETTER,None,Poorest,MICS,YES,0.85610815993456
818.0,18.0,RURAL,JIGAWA,North West,3.0,25.0,NO,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,2,IMPROVED,BETTER,None,Poorest,MICS,YES,0.85610815993456
819.0,1.0,RURAL,JIGAWA,North West,3.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
819.0,1.0,RURAL,JIGAWA,North West,4.0,25.0,NO,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,3,IMPROVED,BETTER,None,Poorest,MICS,YES,0.489178324763293
819.0,1.0,RURAL,JIGAWA,North West,5.0,23.0,NO,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,1,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.489178324763293
819.0,3.0,RURAL,JIGAWA,North West,5.0,27.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,NEITHER HAPPY NOR UNHAPPY,5,IMPROVED,BETTER,None,Poorest,MICS,YES,0.489178324763293
819.0,3.0,RURAL,JIGAWA,North West,6.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,10,IMPROVED,BETTER,Primary,Poorest,MICS,YES,0.489178324763293
819.0,5.0,RURAL,JIGAWA,North West,4.0,29.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,SOMEWHAT HAPPY,5,IMPROVED,BETTER,None,Second,MICS,YES,0.489178324763293
819.0,5.0,RURAL,JIGAWA,North West,5.0,16.0,NO,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,2,IMPROVED,BETTER,None,Second,MICS,YES,0.489178324763293
819.0,7.0,RURAL,JIGAWA,North West,1.0,35.0,NO,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,4,MORE OR LESS THE SAME,BETTER,None,Poorest,MICS,YES,0.489178324763293
